============================================================================================================================================
BENCHMARK RESULTS - DETAILED VIEW (All Measurements)
============================================================================================================================================

Total Records: 360

Column Descriptions:
  file: FASTA filename
  header: Sequence metadata (type|characteristic|length|instance)
  seq_len: Sequence length (bp)
  query_len: Query pattern length (bp)
  edits: Edit distance threshold (0-5)
  re_time: Python regex execution time (seconds)
  re_mem: Python regex memory usage (bytes)
  shiftor_time: Shift-Or (Myers) algorithm execution time (seconds)
  shiftor_mem: Shift-Or algorithm memory usage (bytes)
  levenshtein_time: Levenshtein (Ukkonen) algorithm execution time (seconds)
  levenshtein_mem: Levenshtein algorithm memory usage (bytes)

============================================================================================================================================

File                      Seq_Len  Query    Edits  Regex_Time(s)   Shiftor_Time(s)  Levenshtein_Time(s)  Regex_Mem(MB) Shiftor_Mem(MB)  Levenshtein_Mem(MB)
--------------------------------------------------------------------------------------------------------------------------------------------
dna_high_gc_len100_0.fast 100      20       0      0.000179000     0.001437700      0.003841000          63.41         63.41            63.42             
dna_high_gc_len100_0.fast 100      20       1      0.000192700     0.001472400      0.004317400          63.43         63.43            63.43             
dna_high_gc_len100_0.fast 100      20       2      0.000189500     0.001445100      0.004652700          63.43         63.43            63.43             
dna_high_gc_len100_0.fast 100      20       3      0.000180900     0.002592100      0.005665000          63.43         63.43            63.43             
dna_high_gc_len100_0.fast 100      20       4      0.000191100     0.002258000      0.005389100          63.43         63.43            63.43             
dna_high_gc_len100_0.fast 100      20       5      0.000182800     0.001447900      0.005954400          63.43         63.43            63.43             
dna_high_gc_len100_0.fast 100      20       0      0.000244300     0.003397700      0.004808800          63.43         63.43            63.43             
dna_high_gc_len100_0.fast 100      20       1      0.000170000     0.001386600      0.005919400          63.43         63.43            63.43             
dna_high_gc_len100_0.fast 100      20       2      0.000223200     0.003326600      0.008448700          63.44         63.44            63.44             
dna_high_gc_len100_0.fast 100      20       3      0.000195700     0.001453600      0.006494300          63.44         63.44            63.44             
dna_high_gc_len100_0.fast 100      20       4      0.000194700     0.001472100      0.007953900          63.44         63.44            63.44             
dna_high_gc_len100_0.fast 100      20       5      0.000276500     0.001429300      0.005926200          63.44         63.44            63.44             
dna_high_gc_len100_0.fast 100      20       0      0.000189300     0.001946300      0.003853800          63.44         63.44            63.44             
dna_high_gc_len100_0.fast 100      20       1      0.000210100     0.001433800      0.005243900          63.45         63.45            63.45             
dna_high_gc_len100_0.fast 100      20       2      0.000188800     0.001702900      0.004821800          63.45         63.45            63.45             
dna_high_gc_len100_0.fast 100      20       3      0.000218100     0.002161600      0.007242000          63.45         63.45            63.45             
dna_high_gc_len100_0.fast 100      20       4      0.000221800     0.001575800      0.009421100          63.45         63.45            63.45             
dna_high_gc_len100_0.fast 100      20       5      0.000251100     0.002864100      0.006797700          63.45         63.45            63.45             
dna_high_gc_len100_0.fast 100      50       0      0.000233100     0.001677200      0.005526500          63.45         63.45            63.45             
dna_high_gc_len100_0.fast 100      50       1      0.000225200     0.002347500      0.008084800          63.45         63.45            63.45             
dna_high_gc_len100_0.fast 100      50       2      0.000218300     0.001814600      0.007272400          63.45         63.45            63.45             
dna_high_gc_len100_0.fast 100      50       3      0.000301400     0.002396800      0.009335500          63.46         63.46            63.46             
dna_high_gc_len100_0.fast 100      50       4      0.000227000     0.002463000      0.012092600          63.46         63.46            63.46             
dna_high_gc_len100_0.fast 100      50       5      0.000259800     0.002193900      0.010445400          63.46         63.46            63.46             
dna_high_gc_len100_0.fast 100      50       0      0.000301000     0.001634500      0.005492400          63.46         63.46            63.46             
dna_high_gc_len100_0.fast 100      50       1      0.000221700     0.001686000      0.006390400          63.46         63.46            63.46             
dna_high_gc_len100_0.fast 100      50       2      0.000218600     0.001691400      0.007331400          63.46         63.46            63.46             
dna_high_gc_len100_0.fast 100      50       3      0.000225300     0.001694000      0.008941900          63.46         63.46            63.46             
dna_high_gc_len100_0.fast 100      50       4      0.000218000     0.001688200      0.009989100          63.46         63.46            63.46             
dna_high_gc_len100_0.fast 100      50       5      0.000226200     0.001674700      0.009618600          63.46         63.46            63.46             
dna_high_gc_len100_0.fast 100      50       0      0.000332600     0.002438300      0.007014400          63.46         63.46            63.46             
dna_high_gc_len100_0.fast 100      50       1      0.000257100     0.001774700      0.006498500          63.46         63.46            63.47             
dna_high_gc_len100_0.fast 100      50       2      0.000228200     0.001741000      0.007982800          63.47         63.47            63.47             
dna_high_gc_len100_0.fast 100      50       3      0.000217700     0.001649300      0.009262800          63.47         63.47            63.47             
dna_high_gc_len100_0.fast 100      50       4      0.000212500     0.001646700      0.009299000          63.47         63.47            63.47             
dna_high_gc_len100_0.fast 100      50       5      0.000438900     0.001671000      0.011981600          63.47         63.47            63.47             
dna_high_gc_len500_0.fast 500      20       0      0.000206700     0.007710200      0.021735600          63.47         63.47            63.47             
dna_high_gc_len500_0.fast 500      20       1      0.000190000     0.009405000      0.027083600          63.47         63.47            63.47             
dna_high_gc_len500_0.fast 500      20       2      0.000401300     0.014754000      0.029274400          63.47         63.47            63.47             
dna_high_gc_len500_0.fast 500      20       3      0.000189300     0.011358800      0.046755600          63.47         63.47            63.47             
dna_high_gc_len500_0.fast 500      20       4      0.000202800     0.007670100      0.033975700          63.47         63.47            63.47             
dna_high_gc_len500_0.fast 500      20       5      0.000193500     0.012481700      0.047196600          63.47         63.47            63.47             
dna_high_gc_len500_0.fast 500      20       0      0.000902100     0.008973400      0.028038500          63.47         63.48            63.48             
dna_high_gc_len500_0.fast 500      20       1      0.000193000     0.011503400      0.028373100          63.48         63.48            63.48             
dna_high_gc_len500_0.fast 500      20       2      0.000187800     0.007580500      0.033983100          63.48         63.48            63.48             
dna_high_gc_len500_0.fast 500      20       3      0.000253600     0.014409500      0.040579300          63.48         63.48            63.48             
dna_high_gc_len500_0.fast 500      20       4      0.000173000     0.009125900      0.043869300          63.48         63.48            63.48             
dna_high_gc_len500_0.fast 500      20       5      0.000344300     0.015015400      0.037392400          63.48         63.48            63.48             
dna_high_gc_len500_0.fast 500      20       0      0.000186100     0.009196900      0.025489800          63.48         63.48            63.48             
dna_high_gc_len500_0.fast 500      20       1      0.000235200     0.008472400      0.026399700          63.48         63.48            63.48             
dna_high_gc_len500_0.fast 500      20       2      0.000181000     0.007650200      0.028250400          63.48         63.48            63.48             
dna_high_gc_len500_0.fast 500      20       3      0.000188900     0.007492300      0.039105600          63.48         63.48            63.48             
dna_high_gc_len500_0.fast 500      20       4      0.000187600     0.009302900      0.033676400          63.48         63.48            63.48             
dna_high_gc_len500_0.fast 500      20       5      0.000266900     0.013546200      0.035928200          63.49         63.49            63.49             
dna_high_gc_len500_0.fast 500      50       0      0.000304600     0.007990000      0.057249300          63.49         63.49            63.49             
dna_high_gc_len500_0.fast 500      50       1      0.000259800     0.007984200      0.063344800          63.49         63.49            63.49             
dna_high_gc_len500_0.fast 500      50       2      0.000228400     0.010892800      0.065047600          63.49         63.49            63.49             
dna_high_gc_len500_0.fast 500      50       3      0.000225100     0.007948800      0.080404400          63.49         63.49            63.49             
dna_high_gc_len500_0.fast 500      50       4      0.000235800     0.007955400      0.085535500          63.49         63.49            63.49             
dna_high_gc_len500_0.fast 500      50       5      0.000226800     0.012657900      0.097741100          63.49         63.49            63.49             
dna_high_gc_len500_0.fast 500      50       0      0.000212700     0.007823300      0.061929700          63.49         63.50            63.50             
dna_high_gc_len500_0.fast 500      50       1      0.000283200     0.009981200      0.065009700          63.50         63.50            63.50             
dna_high_gc_len500_0.fast 500      50       2      0.000282300     0.011043800      0.084644600          63.50         63.50            63.50             
dna_high_gc_len500_0.fast 500      50       3      0.000407600     0.007974800      0.083047200          63.50         63.50            63.50             
dna_high_gc_len500_0.fast 500      50       4      0.000237900     0.008551900      0.087495400          63.52         63.52            63.52             
dna_high_gc_len500_0.fast 500      50       5      0.000243600     0.008887500      0.092908800          63.52         63.52            63.52             
dna_high_gc_len500_0.fast 500      50       0      0.000288300     0.008639300      0.055730100          63.52         63.52            63.52             
dna_high_gc_len500_0.fast 500      50       1      0.000223200     0.011097200      0.068100700          63.52         63.52            63.52             
dna_high_gc_len500_0.fast 500      50       2      0.000217800     0.010498600      0.071689300          63.52         63.52            63.52             
dna_high_gc_len500_0.fast 500      50       3      0.000262700     0.009841500      0.076872500          63.52         63.52            63.52             
dna_high_gc_len500_0.fast 500      50       4      0.000252900     0.011527700      0.089316800          63.52         63.52            63.52             
dna_high_gc_len500_0.fast 500      50       5      0.000220700     0.009078100      0.090596900          63.52         63.52            63.52             
dna_low_complexity_len100 100      20       0      0.000179200     0.001393900      0.005631300          63.52         63.52            63.53             
dna_low_complexity_len100 100      20       1      0.000183100     0.002073500      0.004525600          63.53         63.53            63.53             
dna_low_complexity_len100 100      20       2      0.000201100     0.001455200      0.004650000          63.53         63.53            63.53             
dna_low_complexity_len100 100      20       3      0.000561300     0.002019300      0.011283600          63.53         63.53            63.53             
dna_low_complexity_len100 100      20       4      0.000331700     0.003621000      0.008539500          63.53         63.53            63.53             
dna_low_complexity_len100 100      20       5      0.000169100     0.002580200      0.005831100          63.53         63.53            63.53             
dna_low_complexity_len100 100      20       0      0.000035300     0.003445300      0.008081600          63.53         63.53            63.53             
dna_low_complexity_len100 100      20       1      0.000208700     0.001401300      0.005737500          63.53         63.54            63.54             
dna_low_complexity_len100 100      20       2      0.000171000     0.001403300      0.007036500          63.54         63.54            63.54             
dna_low_complexity_len100 100      20       3      0.000192600     0.004095900      0.005714700          63.54         63.54            63.54             
dna_low_complexity_len100 100      20       4      0.000199300     0.001466400      0.006333200          63.54         63.54            63.54             
dna_low_complexity_len100 100      20       5      0.000192600     0.002123100      0.009520800          63.54         63.54            63.54             
dna_low_complexity_len100 100      20       0      0.000044100     0.001371900      0.003747000          63.54         63.54            63.54             
dna_low_complexity_len100 100      20       1      0.000260200     0.001462300      0.004818100          63.54         63.54            63.54             
dna_low_complexity_len100 100      20       2      0.000205700     0.001418300      0.004692900          63.55         63.55            63.55             
dna_low_complexity_len100 100      20       3      0.000239900     0.001623700      0.005133200          63.55         63.55            63.55             
dna_low_complexity_len100 100      20       4      0.000190300     0.001394900      0.005415700          63.55         63.55            63.55             
dna_low_complexity_len100 100      20       5      0.000243700     0.001500500      0.005893300          63.55         63.55            63.55             
dna_low_complexity_len100 100      50       0      0.000379000     0.002394100      0.005657100          63.55         63.55            63.55             
dna_low_complexity_len100 100      50       1      0.000381200     0.001591300      0.006524700          63.55         63.55            63.55             
dna_low_complexity_len100 100      50       2      0.000215600     0.004129300      0.008235600          63.55         63.55            63.55             
dna_low_complexity_len100 100      50       3      0.000232700     0.001639800      0.007859200          63.55         63.55            63.55             
dna_low_complexity_len100 100      50       4      0.000216300     0.003184200      0.009237800          63.55         63.55            63.55             
dna_low_complexity_len100 100      50       5      0.000212700     0.002151500      0.010590500          63.55         63.55            63.55             
dna_low_complexity_len100 100      50       0      0.000032200     0.001582000      0.007282100          63.55         63.55            63.55             
dna_low_complexity_len100 100      50       1      0.000216000     0.001616000      0.009401500          63.55         63.55            63.55             
dna_low_complexity_len100 100      50       2      0.000222100     0.001640000      0.008417700          63.55         63.55            63.55             
dna_low_complexity_len100 100      50       3      0.000244200     0.001655600      0.008182200          63.57         63.57            63.57             
dna_low_complexity_len100 100      50       4      0.000222100     0.003935500      0.010008300          63.57         63.57            63.57             
dna_low_complexity_len100 100      50       5      0.000218700     0.001919600      0.011574600          63.57         63.57            63.58             
dna_low_complexity_len100 100      50       0      0.000214400     0.001578600      0.012176900          63.58         63.58            63.58             
dna_low_complexity_len100 100      50       1      0.000256600     0.001628300      0.006473700          63.61         63.61            63.61             
dna_low_complexity_len100 100      50       2      0.000217200     0.001565300      0.007164800          63.61         63.61            63.61             
dna_low_complexity_len100 100      50       3      0.000214500     0.001595400      0.009823200          63.61         63.61            63.61             
dna_low_complexity_len100 100      50       4      0.000269100     0.001644300      0.010491500          63.61         63.61            63.61             
dna_low_complexity_len100 100      50       5      0.000277200     0.001617700      0.013279500          63.61         63.61            63.61             
dna_low_complexity_len500 500      20       0      0.000226300     0.009623000      0.024944600          63.61         63.61            63.61             
dna_low_complexity_len500 500      20       1      0.000201100     0.007574300      0.024673800          63.63         63.63            63.63             
dna_low_complexity_len500 500      20       2      0.000211500     0.007767400      0.029838800          63.63         63.63            63.63             
dna_low_complexity_len500 500      20       3      0.000184700     0.007532000      0.041420800          63.63         63.63            63.63             
dna_low_complexity_len500 500      20       4      0.000191400     0.009203700      0.034315000          63.63         63.63            63.63             
dna_low_complexity_len500 500      20       5      0.000187700     0.008610500      0.038751100          63.64         63.64            63.64             
dna_low_complexity_len500 500      20       0      0.000237500     0.007636100      0.022436100          63.64         63.64            63.64             
dna_low_complexity_len500 500      20       1      0.000178500     0.007507100      0.029325600          63.64         63.64            63.64             
dna_low_complexity_len500 500      20       2      0.000179600     0.007622800      0.029068100          63.64         63.64            63.64             
dna_low_complexity_len500 500      20       3      0.000201300     0.014103900      0.031247900          63.64         63.64            63.64             
dna_low_complexity_len500 500      20       4      0.000753100     0.007810500      0.037566400          63.64         63.64            63.64             
dna_low_complexity_len500 500      20       5      0.000184100     0.009761100      0.040568800          63.64         63.64            63.64             
dna_low_complexity_len500 500      20       0      0.000051600     0.013483500      0.024685100          63.65         63.65            63.65             
dna_low_complexity_len500 500      20       1      0.000246800     0.008570700      0.031896500          63.65         63.65            63.65             
dna_low_complexity_len500 500      20       2      0.000183800     0.007602700      0.032457200          63.65         63.65            63.65             
dna_low_complexity_len500 500      20       3      0.002527000     0.009344800      0.034132800          63.66         63.66            63.66             
dna_low_complexity_len500 500      20       4      0.000182400     0.008395200      0.038693300          63.66         63.66            63.66             
dna_low_complexity_len500 500      20       5      0.000180500     0.007672300      0.039688700          63.66         63.66            63.66             
dna_low_complexity_len500 500      50       0      0.000252500     0.008856100      0.057382500          63.66         63.66            63.67             
dna_low_complexity_len500 500      50       1      0.000334100     0.007665800      0.063809200          63.67         63.67            63.67             
dna_low_complexity_len500 500      50       2      0.000221900     0.007963100      0.067685800          63.67         63.67            63.67             
dna_low_complexity_len500 500      50       3      0.000251100     0.017359300      0.087310600          63.67         63.67            63.67             
dna_low_complexity_len500 500      50       4      0.000335400     0.007590900      0.086561500          63.67         63.67            63.67             
dna_low_complexity_len500 500      50       5      0.000223800     0.008747600      0.091594600          63.67         63.67            63.67             
dna_low_complexity_len500 500      50       0      0.000070600     0.009072500      0.052412900          63.67         63.67            63.67             
dna_low_complexity_len500 500      50       1      0.000289000     0.007624800      0.079210400          63.67         63.67            63.67             
dna_low_complexity_len500 500      50       2      0.000224900     0.008051600      0.065863900          63.67         63.67            63.67             
dna_low_complexity_len500 500      50       3      0.000218900     0.012416100      0.074797300          63.67         63.67            63.67             
dna_low_complexity_len500 500      50       4      0.000212100     0.012157700      0.078722800          63.67         63.67            63.67             
dna_low_complexity_len500 500      50       5      0.000216100     0.007865200      0.093883600          63.67         63.67            63.67             
dna_low_complexity_len500 500      50       0      0.000040100     0.007513300      0.058580200          63.67         63.67            63.67             
dna_low_complexity_len500 500      50       1      0.000435300     0.011992700      0.063644300          63.67         63.67            63.67             
dna_low_complexity_len500 500      50       2      0.000216200     0.008561100      0.072610300          63.67         63.67            63.67             
dna_low_complexity_len500 500      50       3      0.000219000     0.008044800      0.082440700          63.67         63.67            63.67             
dna_low_complexity_len500 500      50       4      0.000226000     0.013504800      0.079147900          63.67         63.67            63.67             
dna_low_complexity_len500 500      50       5      0.000229000     0.010127000      0.085250000          63.67         63.67            63.67             
dna_mutated_len100_0.fast 100      20       0      0.000183900     0.001427900      0.006166100          63.67         63.67            63.67             
dna_mutated_len100_0.fast 100      20       1      0.000209600     0.001455400      0.004703600          63.67         63.67            63.67             
dna_mutated_len100_0.fast 100      20       2      0.000167800     0.001465400      0.004637600          63.67         63.67            63.67             
dna_mutated_len100_0.fast 100      20       3      0.000182700     0.001407500      0.009613300          63.67         63.67            63.67             
dna_mutated_len100_0.fast 100      20       4      0.000177200     0.001509300      0.005739100          63.67         63.67            63.67             
dna_mutated_len100_0.fast 100      20       5      0.000338800     0.001558100      0.008543900          63.68         63.68            63.68             
dna_mutated_len100_0.fast 100      20       0      0.000220700     0.002146000      0.006409900          63.68         63.68            63.68             
