================================================================================
DNA PATTERN MATCHING ALGORITHMS - COMPREHENSIVE ANALYSIS REPORT
================================================================================
Total Patterns: 119 | Categories: 5 | Algorithm Runs: 679
Generated: 2025-12-02 06:01:41

OVERALL PERFORMANCE RANKING
==================================================
Algorithm    Mean(ms)   Median(ms)   Min(ms)    Max(ms)      Std(ms)    Memory(kB)   Patterns   Total(ms)*  
-----------------------------------------------------------------------------------------------------------------------
suffix_tree  0.5527     0.1115       0.0207     10.4867      1.6088     0.8          114        35.7945     
regex        2.5588     2.2037       1.5870     14.0795      1.7448     13.2         119        262.2413    
rabin_karp   148.2237   147.7909     146.2701   171.1943     2.4909     0.4          119        17587.1141  
boyer_moore  184.9675   175.1549     12.0100    436.0205     96.5301    7.6          119        20843.4350  
kmp          191.7858   191.6705     186.4815   200.3020     2.2935     3.0          119        22808.7845  
naive        667.8601   665.4823     650.6227   735.3670     13.7327    2.2          89         59227.9240  

* Total Time = (Median × Patterns) + Preprocessing Time

SPEEDUP COMPARISON vs REGEX (Total Time)
=========================================
Algorithm       Speedup         Description                   
------------------------------------------------------------
suffix_tree     7.3263x faster  Significantly faster          
regex           1.00x           Baseline (C-optimized)        
rabin_karp      67.0646x slower Much slower                   
boyer_moore     79.4819x slower Much slower                   
kmp             86.9763x slower Much slower                   
naive           225.8528x slower Much slower                   

SPEEDUP COMPARISON vs REGEX (Runtime Only)
============================================
Algorithm       Speedup         Description                   
------------------------------------------------------------
suffix_tree     4.6297x faster  Significantly faster          
regex           1.00x           Baseline (C-optimized)        
rabin_karp      57.9268x slower Much slower                   
boyer_moore     72.2865x slower Much slower                   
kmp             74.9511x slower Much slower                   
naive           261.0040x slower Much slower                   

PATTERN SIZE BREAKDOWN
==============================
Size       Length Range    Count    Avg Time(ms)
---------------------------------------------
small      5-10bp         120      222.4105    
medium     20-50bp         348      196.0870    
large      53-197bp         131      145.6895    
vlarge     214-2943bp         80       103.3304    

CATEGORY: AVERAGE
=================
Algorithm    Mean(ms)   Std(ms)    Preproc(ms)  Memory(kB)   Patterns   Total(ms)*  
----------------------------------------------------------------------------------------
suffix_tree  1.1425     2.3097     23.0882      1.9          50         80.2135     
regex        3.0249     2.4697     0.0000       22.1         55         166.3676    
rabin_karp   148.1253   1.6010     0.0000       0.6          55         8146.8940   
kmp          191.9722   2.0664     0.0000       5.4          55         10558.4731  
boyer_moore  228.7129   91.9248    0.0000       13.6         55         12579.2109  
naive        670.9306   14.6596    0.0000       4.6          40         26837.2257  

* Total Time = (Mean × Patterns) + Preprocessing Time

PER-PATTERN RESULTS:
Pattern              Algorithm    Time(ms)   Matches  Memory(kB)
----------------------------------------------------------------------
avg_long_0           suffix_tree  0.2275     1        1.5       
avg_long_0           regex        2.6345     1        32.6      
avg_long_0           rabin_karp   153.4935   1        0.6       
avg_long_0           kmp          192.4669   1        3.7       
avg_long_0           boyer_moore  214.3027   1        14.0      
avg_long_1           suffix_tree  0.2615     1        0.2       
avg_long_1           regex        2.7041     1        19.4      
avg_long_1           rabin_karp   147.6047   1        0.7       
avg_long_1           kmp          189.7531   1        2.6       
avg_long_1           boyer_moore  225.0495   1        13.2      
avg_long_2           suffix_tree  0.2273     1        0.2       
avg_long_2           regex        2.3229     1        16.2      
avg_long_2           rabin_karp   147.6868   1        0.6       
avg_long_2           boyer_moore  151.3457   1        11.9      
avg_long_2           kmp          189.7861   1        2.3       
avg_long_3           suffix_tree  0.1171     1        0.1       
avg_long_3           regex        2.4283     1        11.9      
avg_long_3           boyer_moore  116.9483   1        3.2       
avg_long_3           rabin_karp   148.2626   1        0.5       
avg_long_3           kmp          193.9032   1        1.7       
avg_long_4           suffix_tree  0.1201     1        0.1       
avg_long_4           regex        2.1086     1        10.2      
avg_long_4           boyer_moore  108.6860   1        2.7       
avg_long_4           rabin_karp   148.6918   1        0.4       
avg_long_4           kmp          192.3507   1        1.5       
avg_long_5           suffix_tree  0.2470     1        0.2       
avg_long_5           regex        2.6909     1        17.0      
avg_long_5           boyer_moore  142.5791   1        12.6      
avg_long_5           rabin_karp   148.5638   1        0.6       
avg_long_5           kmp          195.2148   1        2.5       
avg_long_6           suffix_tree  0.1249     1        0.1       
avg_long_6           regex        2.2992     1        11.4      
avg_long_6           rabin_karp   148.1556   1        0.4       
avg_long_6           boyer_moore  167.1539   1        3.1       
avg_long_6           kmp          189.7653   1        1.7       
avg_long_7           suffix_tree  0.1308     1        0.1       
avg_long_7           regex        2.3205     1        13.1      
avg_long_7           boyer_moore  116.3019   1        3.5       
avg_long_7           rabin_karp   148.5415   1        0.5       
avg_long_7           kmp          189.8157   1        1.9       
avg_long_8           suffix_tree  0.1281     1        0.1       
avg_long_8           regex        2.4172     1        12.9      
avg_long_8           boyer_moore  103.4582   1        3.5       
avg_long_8           rabin_karp   147.7961   1        0.5       
avg_long_8           kmp          191.3231   1        1.9       
avg_long_9           suffix_tree  0.2449     1        0.2       
avg_long_9           regex        2.8724     1        17.8      
avg_long_9           boyer_moore  137.6395   1        13.2      
avg_long_9           rabin_karp   147.9300   1        0.7       
avg_long_9           kmp          193.5677   1        2.6       
avg_medium_0         suffix_tree  0.0546     1        0.1       
avg_medium_0         regex        2.2167     1        2.4       
avg_medium_0         rabin_karp   147.5433   1        0.1       
